FILE	ACC	NAME	DESC
PF00181.23.hmm	PF00181.23	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain
PF00189.20.hmm	PF00189.20	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain
PF00203.21.hmm	PF00203.21	Ribosomal_S19	Ribosomal protein S19
PF00237.19.hmm	PF00237.19	Ribosomal_L22	Ribosomal protein L22p/L17e
PF00238.19.hmm	PF00238.19	Ribosomal_L14	Ribosomal protein L14p/L23e
PF00252.18.hmm	PF00252.18	Ribosomal_L16	Ribosomal protein L16p/L10e
PF00281.19.hmm	PF00281.19	Ribosomal_L5	Ribosomal protein L5
PF00297.22.hmm	PF00297.22	Ribosomal_L3	Ribosomal protein L3
PF00338.22.hmm	PF00338.22	Ribosomal_S10	Ribosomal protein S10p/S20e
PF00347.23.hmm	PF00347.23	Ribosomal_L6	Ribosomal protein L6
PF00366.20.hmm	PF00366.20	Ribosomal_S17	Ribosomal protein S17
PF00410.19.hmm	PF00410.19	Ribosomal_S8	Ribosomal protein S8
PF00573.22.hmm	PF00573.22	Ribosomal_L4	Ribosomal protein L4/L1 family
PF00828.19.hmm	PF00828.19	Ribosomal_L27A	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00861.22.hmm	PF00861.22	Ribosomal_L18p	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF17136.4.hmm	PF17136.4	ribosomal_L24	Ribosomal proteins 50S L24/mitochondrial 39S L24
